speed_rpm,omega_e_rad_s,target_torque_nm,vmax_v,imax_a,id_zero_id_a,id_zero_iq_a,id_zero_torque_nm,id_zero_current_a,id_zero_voltage_v,id_zero_voltage_margin_v,id_zero_current_margin_a,id_zero_copper_loss_w,id_zero_feasible,min_current_target_id_a,min_current_target_iq_a,min_current_target_torque_nm,min_current_target_current_a,min_current_target_voltage_v,min_current_target_voltage_margin_v,min_current_target_current_margin_a,min_current_target_copper_loss_w,min_current_target_feasible,max_feasible_torque_id_a,max_feasible_torque_iq_a,max_feasible_torque_torque_nm,max_feasible_torque_current_a,max_feasible_torque_voltage_v,max_feasible_torque_voltage_margin_v,max_feasible_torque_current_margin_a,max_feasible_torque_copper_loss_w,max_feasible_torque_feasible
0.0,0.0,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-166.0,200.0,98.00807999999999,259.9153708421262,9.097037979474418,198.7490589287909,0.08462915787379188,3546.6899999999987,True
250.0,104.71975511965977,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-166.0,200.0,98.00807999999999,259.9153708421262,16.302908928366776,191.54318797989853,0.08462915787379188,3546.6899999999987,True
500.0,209.43951023931953,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-166.0,200.0,98.00807999999999,259.9153708421262,23.98733293987399,183.85876396839132,0.08462915787379188,3546.6899999999987,True
750.0,314.1592653589793,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-166.0,200.0,98.00807999999999,259.9153708421262,31.805314117694678,176.04078279057063,0.08462915787379188,3546.6899999999987,True
1000.0,418.87902047863906,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-166.0,200.0,98.00807999999999,259.9153708421262,39.67798423807861,168.1681126701867,0.08462915787379188,3546.6899999999987,True
1250.0,523.5987755982989,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-166.0,200.0,98.00807999999999,259.9153708421262,47.57820323198767,160.26789367627765,0.08462915787379188,3546.6899999999987,True
1500.0,628.3185307179587,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-166.0,200.0,98.00807999999999,259.9153708421262,55.49420667859441,152.35189022967091,0.08462915787379188,3546.6899999999987,True
1750.0,733.0382858376183,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-166.0,200.0,98.00807999999999,259.9153708421262,63.42008427543992,144.4260126328254,0.08462915787379188,3546.6899999999987,True
2000.0,837.7580409572781,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-166.0,200.0,98.00807999999999,259.9153708421262,71.35254562127672,136.49355128698858,0.08462915787379188,3546.6899999999987,True
2250.0,942.477796076938,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-166.0,200.0,98.00807999999999,259.9153708421262,79.28961474420197,128.55648216406334,0.08462915787379188,3546.6899999999987,True
