field_current_a,effective_psi_f_wb,target_max_speed_rpm,boundary_current_a,boundary_copper_loss_w,field_loss_w,combined_loss_w,tradeoff_score
-60.0,0.0442,5500.0,257.68973592287296,3486.209999999999,4320.0,7806.209999999999,5421.9379
-40.0,0.0478,6000.0,257.4024086911387,3478.4399999999996,1920.0,5398.44,5946.0156
-20.0,0.0514,6500.0,259.4532713226025,3534.09,480.0,4014.09,6459.8591
0.0,0.055,6750.0,258.93628559937287,3520.0200000000004,0.0,3520.0200000000004,6714.7998
20.0,0.0586,6750.0,251.75384803414624,3327.45,480.0,3807.45,6711.9255
