speed_rpm,omega_e_rad_s,freq_hz,target_torque_nm,baseline_iron_loss_w,min_current_target_feasible,min_current_target_id_a,min_current_target_iq_a,min_current_target_torque_nm,min_current_target_current_a,min_current_target_voltage_v,min_current_target_copper_loss_w,min_current_target_iron_loss_w,min_current_target_total_loss_w,min_current_target_efficiency_pct,min_current_target_lambda_d_wb,min_current_target_lambda_q_wb,min_current_target_b_peak_t,max_feasible_torque_feasible,max_feasible_torque_id_a,max_feasible_torque_iq_a,max_feasible_torque_torque_nm,max_feasible_torque_current_a,max_feasible_torque_voltage_v,max_feasible_torque_copper_loss_w,max_feasible_torque_iron_loss_w,max_feasible_torque_total_loss_w,max_feasible_torque_efficiency_pct,max_feasible_torque_lambda_d_wb,max_feasible_torque_lambda_q_wb,max_feasible_torque_b_peak_t
0.0,0.0,0.0,100.0,0.0,True,-122.0,198.0,100.12464000000001,232.568269546815,8.139889434138526,2839.6200000000003,0.0,2839.6200000000003,0.0,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,9.1,3548.9999999999995,0.0,3548.9999999999995,0.0,0.03124,0.09408,8.92493876960143
250.0,104.71975511965977,16.666666666665567,100.0,145.78707895788523,True,-122.0,198.0,100.12464000000001,232.568269546815,16.625047252303958,2839.6200000000003,385.9009137322732,3225.5209137322736,44.83250447756631,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,18.245656953749194,3548.9999999999995,473.60241068623964,4022.602410686239,43.12341810944697,0.03124,0.09408,8.92493876960143
500.0,209.43951023931953,33.33333333333113,100.0,467.4780036358847,True,-122.0,198.0,100.12464000000001,232.568269546815,25.732173175093376,2839.6200000000003,1237.4223425173404,4077.042342517341,56.25282749192434,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,28.258235473824126,3548.9999999999995,1518.6442519278617,5067.644251927861,54.62133947875791,0.03124,0.09408,8.92493876960143
750.0,314.1592653589793,49.99999999999671,100.0,960.7314436699401,True,-122.0,198.0,100.12464000000001,232.568269546815,34.978785292159124,2839.6200000000003,2543.072709966682,5382.692709966683,59.365058522898714,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,38.46662999614844,3548.9999999999995,3121.022322393853,6670.022322393852,57.83736563579437,0.03124,0.09408,8.92493876960143
1000.0,418.87902047863906,66.66666666666227,100.0,1623.9981919032687,True,-122.0,198.0,100.12464000000001,232.568269546815,44.27758178522463,2839.6200000000003,4298.7512380028675,7138.371238002868,59.49492359673738,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,48.74797689313251,3548.9999999999995,5275.70388359086,8824.703883590859,58.02624521383479,0.03124,0.09408,8.92493876960143
1250.0,523.5987755982989,83.33333333332784,100.0,2456.382892148923,True,-122.0,198.0,100.12464000000001,232.568269546815,53.601410625186546,2839.6200000000003,6502.087903348603,9341.707903348602,58.385107938854105,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,59.0641918240864,3548.9999999999995,7979.780290585518,11528.780290585517,56.947339208812366,0.03124,0.09408,8.92493876960143
1500.0,628.3185307179587,99.99999999999342,100.0,3457.2814282429654,True,-122.0,198.0,100.12464000000001,232.568269546815,62.9391478914577,2839.6200000000003,9151.4836000932,11991.1036000932,56.73993630715168,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,69.3997272129932,3548.9999999999995,11231.289017798601,14780.289017798601,55.31920975949338,0.03124,0.09408,8.92493876960143
1750.0,733.0382858376183,116.66666666665897,100.0,4626.250303141938,True,-122.0,198.0,100.12464000000001,232.568269546815,72.28540376608558,2839.6200000000003,12245.764383909547,15085.384383909548,54.88035588418705,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,79.74707139067591,3548.9999999999995,15028.789325279664,18577.789325279664,53.470783280756365,0.03124,0.09408,8.92493876960143
2000.0,837.7580409572781,133.33333333332453,100.0,5962.945893110878,True,-122.0,198.0,100.12464000000001,232.568269546815,81.63725253816162,2839.6200000000003,15784.020676841563,18623.64067684156,52.96311674634373,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,90.10215608012692,3548.9999999999995,19371.164920484734,22920.164920484734,51.5628910983662,0.03124,0.09408,8.92493876960143
2250.0,942.477796076938,149.99999999999014,100.0,7467.091739430101,True,-122.0,198.0,100.12464000000001,232.568269546815,90.99296978538203,2839.6200000000003,19765.520687887612,22605.14068788761,51.0673674642685,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,100.46258777242326,3548.9999999999995,24257.517702450175,27806.517702450175,49.67664691363429,0.03124,0.09408,8.92493876960143
2500.0,1047.1975511965977,166.6666666666557,100.0,9138.45913678154,True,-122.0,198.0,100.12464000000001,232.568269546815,100.35147354562181,2839.6200000000003,24189.65903012419,27029.279030124188,49.23301914026071,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,110.82686691557439,3548.9999999999995,29687.104701423465,33236.104701423465,47.85281834455986,0.03124,0.09408,8.92493876960143
2750.0,1151.9173063162573,183.33333333332124,100.0,10976.854777782799,True,-122.0,198.0,100.12464000000001,232.568269546815,109.71205074750053,2839.6200000000003,29055.924015574343,31895.54401557434,47.47921179373955,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,121.19400643373136,3548.9999999999995,35659.297941023186,39208.297941023186,46.11083277468834,0.03124,0.09408,8.92493876960143
3000.0,1256.6370614359173,199.99999999998684,100.0,12982.112460710367,True,-122.0,198.0,100.12464000000001,232.568269546815,119.07421240426896,2839.6200000000003,34363.87570540793,37203.495705407935,45.81376978810599,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,131.56333013930026,3548.9999999999995,42173.55750003352,45722.55750003352,44.458518649134525,0.03124,0.09408,8.92493876960143
3250.0,1361.356816555577,216.66666666665242,100.0,15154.087287580296,True,-122.0,198.0,100.12464000000001,232.568269546815,128.4376120309082,2839.6200000000003,40113.13055216105,42952.75055216105,44.23827403221467,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,141.9343593213849,3548.9999999999995,49229.412664348754,52778.412664348754,42.89732884004126,0.03124,0.09408,8.92493876960143
3500.0,1466.0765716752367,233.33333333331794,100.0,17492.6514658299,True,-122.0,198.0,100.12464000000001,232.568269546815,137.80199727412352,2839.6200000000003,46303.35028671505,49142.970286715055,42.75087909612282,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,152.30674558714654,3548.9999999999995,56826.44828835933,60375.44828835933,41.42523720024149,0.03124,0.09408,8.92493876960143
3750.0,1570.7963267948967,249.99999999998354,100.0,19997.691184863754,True,-122.0,198.0,100.12464000000001,232.568269546815,147.16717998692278,2839.6200000000003,52934.23365045992,55773.853650459925,41.34791728941452,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,162.6802293564583,3548.9999999999995,64964.29464813128,68513.29464813128,40.03838362133889,0.03124,0.09408,8.92493876960143
4000.0,1675.5160819145563,266.66666666664906,100.0,22669.10423744746,True,-122.0,198.0,100.12464000000001,232.568269546815,156.53301703442443,2839.6200000000003,60005.51009908251,62845.13009908251,40.024826623909945,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,173.05461326511428,3548.9999999999995,73642.6197142904,77191.6197142904,38.732022257016126,0.03124,0.09408,8.92493876960143
4250.0,1780.235837034216,283.33333333331467,100.0,25506.798171963255,True,-122.0,198.0,100.12464000000001,232.568269546815,165.8993975954277,2839.6200000000003,67516.9349115552,70356.5549115552,38.77669115193652,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,183.42974458345884,3548.9999999999995,82861.12314945858,86410.12314945858,37.50107097401656,0.03124,0.09408,8.92493876960143
4500.0,1884.955592153876,299.9999999999803,100.0,28510.68883222143,True,-122.0,198.0,100.12464000000001,232.568269546815,175.2662345324465,2839.6200000000003,75468.28532499164,78307.90532499163,37.59855416209458,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,193.80550327664577,3548.9999999999995,92619.53156470039,96168.53156470039,36.3404277304136,0.03124,0.09408,8.92493876960143
4750.0,1989.6753472735356,316.6666666666458,100.0,31680.69918615822,True,-122.0,198.0,100.12464000000001,232.568269546815,184.63345838679825,2839.6200000000003,83859.35743418976,86698.97743418976,36.485596114710006,0.03304,0.08316,8.056310508400307,True,-132.0,224.0,116.49792,260.0,204.181793702135,3548.9999999999995,102917.59471444294,106466.59471444294,35.24514862650182,0.03124,0.09408,8.92493876960143
5000.0,2094.3951023931954,333.3333333333114,100.0,35016.7583738266,True,-122.0,198.0,100.12464000000001,232.568269546815,194.0010131122694,2839.6200000000003,92689.96367164698,95529.58367164698,35.43323119129088,0.03304,0.08316,8.056310508400307,True,-144.0,216.0,116.06976,259.59969183340723,206.71099068391294,3538.0800000000004,105059.12828405979,108597.20828405979,35.88212571540808,0.029079999999999998,0.09072000000000001,8.577026207236838
