speed_rpm,omega_e_rad_s,target_torque_nm,vmax_v,imax_a,id_zero_id_a,id_zero_iq_a,id_zero_torque_nm,id_zero_current_a,id_zero_voltage_v,id_zero_voltage_margin_v,id_zero_current_margin_a,id_zero_copper_loss_w,id_zero_feasible,min_current_target_id_a,min_current_target_iq_a,min_current_target_torque_nm,min_current_target_current_a,min_current_target_voltage_v,min_current_target_voltage_margin_v,min_current_target_current_margin_a,min_current_target_copper_loss_w,min_current_target_feasible,max_feasible_torque_id_a,max_feasible_torque_iq_a,max_feasible_torque_torque_nm,max_feasible_torque_current_a,max_feasible_torque_voltage_v,max_feasible_torque_voltage_margin_v,max_feasible_torque_current_margin_a,max_feasible_torque_copper_loss_w,max_feasible_torque_feasible
0.0,0.0,100.0,207.8460969082653,260.0,,,,,,,,,False,-122.0,198.0,100.12464000000001,232.568269546815,8.139889434138526,199.70620747412678,27.431730453184997,2839.6200000000003,True,-132.0,224.0,116.49792,260.0,9.1,198.74609690826532,0.0,3548.9999999999995,True
250.0,104.71975511965977,100.0,207.8460969082653,260.0,,,,,,,,,False,-122.0,198.0,100.12464000000001,232.568269546815,16.625047252303958,191.22104965596134,27.431730453184997,2839.6200000000003,True,-132.0,224.0,116.49792,260.0,18.245656953749194,189.6004399545161,0.0,3548.9999999999995,True
500.0,209.43951023931953,100.0,207.8460969082653,260.0,,,,,,,,,False,-122.0,198.0,100.12464000000001,232.568269546815,25.732173175093376,182.11392373317193,27.431730453184997,2839.6200000000003,True,-132.0,224.0,116.49792,260.0,28.258235473824126,179.58786143444118,0.0,3548.9999999999995,True
750.0,314.1592653589793,100.0,207.8460969082653,260.0,,,,,,,,,False,-122.0,198.0,100.12464000000001,232.568269546815,34.978785292159124,172.86731161610618,27.431730453184997,2839.6200000000003,True,-132.0,224.0,116.49792,260.0,38.46662999614844,169.37946691211687,0.0,3548.9999999999995,True
1000.0,418.87902047863906,100.0,207.8460969082653,260.0,,,,,,,,,False,-122.0,198.0,100.12464000000001,232.568269546815,44.27758178522463,163.56851512304067,27.431730453184997,2839.6200000000003,True,-132.0,224.0,116.49792,260.0,48.74797689313251,159.0981200151328,0.0,3548.9999999999995,True
1250.0,523.5987755982989,100.0,207.8460969082653,260.0,,,,,,,,,False,-122.0,198.0,100.12464000000001,232.568269546815,53.601410625186546,154.24468628307875,27.431730453184997,2839.6200000000003,True,-132.0,224.0,116.49792,260.0,59.0641918240864,148.7819050841789,0.0,3548.9999999999995,True
1500.0,628.3185307179587,100.0,207.8460969082653,260.0,,,,,,,,,False,-122.0,198.0,100.12464000000001,232.568269546815,62.9391478914577,144.9069490168076,27.431730453184997,2839.6200000000003,True,-132.0,224.0,116.49792,260.0,69.3997272129932,138.4463696952721,0.0,3548.9999999999995,True
1750.0,733.0382858376183,100.0,207.8460969082653,260.0,,,,,,,,,False,-122.0,198.0,100.12464000000001,232.568269546815,72.28540376608558,135.56069314217973,27.431730453184997,2839.6200000000003,True,-132.0,224.0,116.49792,260.0,79.74707139067591,128.09902551758938,0.0,3548.9999999999995,True
2000.0,837.7580409572781,100.0,207.8460969082653,260.0,,,,,,,,,False,-122.0,198.0,100.12464000000001,232.568269546815,81.63725253816162,126.20884437010369,27.431730453184997,2839.6200000000003,True,-132.0,224.0,116.49792,260.0,90.10215608012692,117.74394082813839,0.0,3548.9999999999995,True
2250.0,942.477796076938,100.0,207.8460969082653,260.0,,,,,,,,,False,-122.0,198.0,100.12464000000001,232.568269546815,90.99296978538203,116.85312712288328,27.431730453184997,2839.6200000000003,True,-132.0,224.0,116.49792,260.0,100.46258777242326,107.38350913584205,0.0,3548.9999999999995,True
