speed_rpm,target_torque_nm,state,flux_scale,psi_f_wb,ke_relative,id_a,iq_a,torque_nm,current_a,voltage_v,voltage_margin_v,current_margin_a,copper_loss_w,feasible
1500.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
1750.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,72.28540376608558,135.56069314217973,27.431730453184997,2839.6200000000003,True
1750.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,73.34026562591511,134.5058312823502,9.808073671431202,3286.2899999999995,True
1750.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
1750.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
2000.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,81.63725253816162,126.20884437010369,27.431730453184997,2839.6200000000003,True
2000.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,82.83852149303128,125.00757541523403,9.808073671431202,3286.2899999999995,True
2000.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
2000.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
2250.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,90.99296978538203,116.85312712288328,27.431730453184997,2839.6200000000003,True
2250.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,92.34252548908529,115.50357141918002,9.808073671431202,3286.2899999999995,True
2250.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
2250.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
2500.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,100.35147354562181,107.4946233626435,27.431730453184997,2839.6200000000003,True
2500.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,101.85066849919379,105.99542840907152,9.808073671431202,3286.2899999999995,True
2500.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
2500.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
2750.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,109.71205074750053,98.13404616076478,27.431730453184997,2839.6200000000003,True
2750.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,111.36189035411667,96.48420655414864,9.808073671431202,3286.2899999999995,True
2750.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
2750.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
3000.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,119.07421240426896,88.77188450399635,27.431730453184997,2839.6200000000003,True
3000.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,120.87546426893795,86.97063263932736,9.808073671431202,3286.2899999999995,True
3000.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
3000.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
3250.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,128.4376120309082,79.4084848773571,27.431730453184997,2839.6200000000003,True
3250.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,130.39087541196898,77.45522149629633,9.808073671431202,3286.2899999999995,True
3250.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
3250.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
3500.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,137.80199727412352,70.04409963414179,27.431730453184997,2839.6200000000003,True
3500.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,139.90774892280723,67.93834798545808,9.808073671431202,3286.2899999999995,True
3500.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
3500.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
3750.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,147.16717998692278,60.678916921342534,27.431730453184997,2839.6200000000003,True
3750.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,149.42580538874228,58.42029151952303,9.808073671431202,3286.2899999999995,True
3750.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
3750.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
4000.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,156.53301703442443,51.31307987384088,27.431730453184997,2839.6200000000003,True
4000.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,158.94483229404037,48.90126461422494,9.808073671431202,3286.2899999999995,True
4000.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
4000.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
4250.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,165.8993975954277,41.94669931283761,27.431730453184997,2839.6200000000003,True
4250.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,168.46466513594567,39.381431772319644,9.808073671431202,3286.2899999999995,True
4250.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
4250.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
4500.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,175.2662345324465,32.579862375818806,27.431730453184997,2839.6200000000003,True
4500.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,177.98517459392886,29.86092231433645,9.808073671431202,3286.2899999999995,True
4500.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
4500.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
4750.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,184.63345838679825,23.212638521467056,27.431730453184997,2839.6200000000003,True
4750.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,187.5062576037816,20.339839304483718,9.808073671431202,3286.2899999999995,True
4750.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
4750.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
5000.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,194.0010131122694,13.845083795995919,27.431730453184997,2839.6200000000003,True
5000.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,197.02783101734488,10.81826589092043,9.808073671431202,3286.2899999999995,True
5000.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
5000.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
5250.0,100.0,psi_100pct,1.0,0.055,1.0,-122.0,198.0,100.12464000000001,232.568269546815,203.36885298721282,4.477243921052491,27.431730453184997,2839.6200000000003,True
5250.0,100.0,psi_85pct,0.85,0.04675,0.85,-136.0,210.0,100.0314,250.1919263285688,206.54982701445786,1.2962698938074482,9.808073671431202,3286.2899999999995,True
5250.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
5250.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
5500.0,100.0,psi_100pct,1.0,0.055,1.0,-134.0,192.0,100.40832000000002,234.13671220037236,205.77133470447046,2.0747622037948474,25.863287799627642,2878.0499999999997,True
5500.0,100.0,psi_85pct,0.85,0.04675,0.85,-150.0,202.0,100.293,251.60286166894048,207.47798379380706,0.3681131144582537,8.397138331059523,3323.4599999999996,True
5500.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
5500.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
5750.0,100.0,psi_100pct,1.0,0.055,1.0,-146.0,186.0,100.48464000000001,236.4571842850202,207.55690708192185,0.2891898263434598,23.54281571497981,2935.3799999999997,True
5750.0,100.0,psi_85pct,0.85,0.04675,0.85,-164.0,194.0,100.23204,254.03149411047443,207.68106671119418,0.16503019707113253,5.968505889525574,3387.93,True
5750.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
5750.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
6000.0,100.0,psi_100pct,1.0,0.055,1.0,-162.0,178.0,100.26384000000002,240.68236329236922,206.23285094764125,1.613245960624056,19.317636707630783,3041.2200000000003,True
6000.0,100.0,psi_85pct,0.85,0.04675,0.85,-180.0,186.0,100.38419999999999,258.8358553214759,207.06138035630158,0.7847165519637258,1.16414467852411,3517.2899999999995,True
6000.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
6000.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
6250.0,100.0,psi_100pct,1.0,0.055,1.0,-176.0,172.0,100.35168000000002,246.0894146443524,206.4809791386177,1.3651177696476111,13.910585355647612,3179.3999999999996,True
6250.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
6250.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
6250.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
6500.0,100.0,psi_100pct,1.0,0.055,1.0,-190.0,166.0,100.1976,252.30140705116966,206.16135403983577,1.684742868429538,7.698592948830338,3341.9399999999996,True
6500.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
6500.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
6500.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
6750.0,100.0,psi_100pct,1.0,0.055,1.0,-202.0,162.0,100.58256,258.93628559937287,207.81525482375716,0.0308420845081514,1.0637144006271342,3520.0200000000004,True
6750.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
6750.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
6750.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
7000.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
7000.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
7000.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
7000.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
7250.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
7250.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
7250.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
7250.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
7500.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
7500.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
7500.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
7500.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
7750.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
7750.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
7750.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
7750.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
8000.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
8000.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
8000.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
8000.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
8250.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
8250.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
8250.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
8250.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
8500.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
8500.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
8500.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
8500.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
8750.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
8750.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
8750.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
8750.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
9000.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
9000.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
9000.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
9000.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
9250.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
9250.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
9250.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
9250.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
9500.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
9500.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
9500.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
9500.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
9750.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
9750.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
9750.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
9750.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
10000.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
10000.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
10000.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
10000.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
10250.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
10250.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
10250.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
10250.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
10500.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
10500.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
10500.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
10500.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
10750.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
10750.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
10750.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
10750.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
11000.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
11000.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
11000.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
11000.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
11250.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
11250.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
11250.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
11250.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
11500.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
11500.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
11500.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
11500.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
11750.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
11750.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
11750.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
11750.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
12000.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
12000.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
12000.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
12000.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
12250.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
12250.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
12250.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
12250.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
12500.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
12500.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
12500.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
12500.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
12750.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
12750.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
12750.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
12750.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
13000.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
13000.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
13000.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
13000.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
13250.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
13250.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
13250.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
13250.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
13500.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
13500.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
13500.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
13500.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
13750.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
13750.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
13750.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
13750.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
14000.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
14000.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
14000.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
14000.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
14250.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
14250.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
14250.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
14250.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
14500.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
14500.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
14500.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
14500.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
14750.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
14750.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
14750.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
14750.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
15000.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
15000.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
15000.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
15000.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
15250.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
15250.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
15250.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
15250.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
15500.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
15500.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
15500.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
15500.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
15750.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
15750.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
15750.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
15750.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
16000.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
16000.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
16000.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
16000.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
16250.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
16250.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
16250.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
16250.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
16500.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
16500.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
16500.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
16500.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
16750.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
16750.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
16750.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
16750.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
17000.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
17000.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
17000.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
17000.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
17250.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
17250.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
17250.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
17250.0,100.0,psi_55pct,0.55,0.030250000000000003,0.55,,,,,,,,,False
17500.0,100.0,psi_100pct,1.0,0.055,1.0,,,,,,,,,False
17500.0,100.0,psi_85pct,0.85,0.04675,0.85,,,,,,,,,False
17500.0,100.0,psi_70pct,0.7,0.0385,0.7,,,,,,,,,False
